Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2015-08-16,13:41:38.450,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:38.640,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:38.840,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:39.040,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:39.240,-2,0,4,0,134,-205,3,20,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:39.440,-2,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:39.640,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:39.840,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:40.040,-3,0,4,0,134,-205,3,21,56,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:40.240,-2,0,6,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:40.440,-2,0,6,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:40.640,-3,0,4,0,134,-205,3,20,57,1,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:40.840,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:41.040,-3,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:41.240,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:41.440,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:41.640,-3,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:41.840,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:42.040,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:42.240,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:42.440,-2,0,4,0,134,-205,3,20,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:42.640,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
2015-08-16,13:41:42.840,-2,0,4,0,134,-205,3,21,56,0,0,-1,1,-1,-1,-1,-1,-1,-1,0x0000000000004001,10.3
