Date,Time,Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2017-03-07,18:51:47.880,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:48.090,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:48.290,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:48.490,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:48.690,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:48.910,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:49.160,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:49.360,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:49.560,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:49.760,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:49.980,-51,0,195,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:50.200,-20,0,834,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:50.400,-20,0,847,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:50.630,20,0,-1024,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x000000000000400C,0.0
2017-03-07,18:51:50.840,-61,0,-508,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:51.050,-61,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:51.260,-61,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:51.460,-61,0,208,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:51.660,-81,0,260,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:51.900,-102,0,286,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:52.100,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:52.300,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:52.500,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:52.700,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:52.920,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:53.120,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:53.320,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:53.520,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:53.720,51,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:53.930,460,0,378,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:54.150,225,0,573,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:54.390,-696,0,404,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:54.610,-215,0,378,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:54.840,389,0,-300,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:55.050,389,0,-286,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:55.280,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:55.480,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:55.680,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:55.900,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:56.100,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,0,-1,0x0000000000004009,0.0
2017-03-07,18:51:56.300,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,1,-1,0x0000000000004009,0.0
2017-03-07,18:51:56.500,0,0,0,0,0,-1024,0,0,0,0,0,-1,1,-1,-1,0,-1,1,-1,0x0000000000004009,0.0
